place,bag,new bag,rating,review num
"Civilian War Memorial, Singapore","japanese occupation,solemn place,major languages,pandan,city hall mrt,marina bay,monument,unity,park,columns,presenting,esplanade,shopping","japanese occupation,solemn place,major languages,pandan,city hall mrt,marina bay,monument,unity,park,columns,presenting,esplanade,shopping",4,144
Singapore Turf Club,"races,horses,track,riding","races,horses,track,riding",4,146
"Sri Srinivasa Perumal Temple, Singapore","serangoon road,little india,ferrer park mrt,lord,statues,culture,beauty,chinatown","serangoon road,little india,ferrer park mrt,lord,statues,culture,beauty,chinatown",4,146
Chinatown Point (Singapore),"food outlets,mrt station,clarke quay,mall,library,chinatown,shop,watches,jewelry,orchard,branch","food outlets,mrt station,clarke quay,mall,library,chinatown,shop,watches,jewelry,orchard,branch",4,147
People's Park Complex (Singapore),"food court,food stalls,park food,money changing,household goods,chinatown,shoes,watches,clothing","food court,food stalls,park food,money changing,household goods,chinatown,shoes,watches,clothing",4,149
Changi Beach (Singapore),"nice beach,east coast park,planes passing,sea creatures,hawkers centre,busy singapore,nasi lemak,food stalls,public transport,fishing,tides,massacre,ships,playground,malaysia,route,court,sentosa","nice beach,east coast park,planes passing,sea creatures,hawkers centre,busy singapore,nasi lemak,food stalls,public transport,fishing,tides,massacre,ships,playground,malaysia,route,court,sentosa",4,157
Southernmost point of Asia (Sentosa Island),"rope bridge,palawan beach,worth a quick stop,lovely beach,nice walk,tower,lookout,mass,sentosa,photogenic,viewing,camera,attractions","rope bridge,palawan beach,worth a quick stop,lovely beach,nice walk,tower,lookout,mass,sentosa,photogenic,viewing,camera,attractions",4,157
Great World (Singapore),"cold storage,shopping mall,big supermarket,orchard road area,food hall,lots of shops,cinema,seng,sephora","cold storage,shopping mall,big supermarket,orchard road area,food hall,lots of shops,cinema,seng,sephora",4,157
Sentosa Nature Discovery (Sentosa Island),"love nature,jungle trail,fort siloso,cable car,trees,sentosa,singapore,pathway","love nature,jungle trail,fort siloso,cable car,trees,sentosa,singapore,pathway",4,162
Desaru Coast Adventure Waterpark (Bandar Penawar),"wave pool,water park,theme park,lazy river,hard rock hotel,great place for family,on duty,johor bahru,pirate ship,re entry,coming back,man made beach,life jackets,every corner,adult rides,hotel guests,,,,,,,,,,,,,,","wave pool,water park,theme park,lazy river,hard rock hotel,great place for family,on duty,johor bahru,pirate ship,re entry,coming back,man made beach,life jackets,every corner,adult rides,hotel guests,,,,,,,,,,,,,,",4,167
National Stadium (Singapore),"fantastic concert,ticket entry,mrt line,acoustics,commuting,usher,powerfully,thousands,stage","fantastic concert,ticket entry,mrt line,acoustics,commuting,usher,powerfully,thousands,stage",4,168
Malay Heritage Centre (Singapore),"kampong glam,cultural background,urban redevelopment,permanent residents,interesting history,sir stamford raffles,free admission,couple of hours,sultan,halal,rotana,museum,contribution,exhibits,kampung,society,ruling,,,,,,,,,","kampong glam,cultural background,urban redevelopment,permanent residents,interesting history,sir stamford raffles,free admission,couple of hours,sultan,halal,rotana,museum,contribution,exhibits,kampung,society,ruling,,,,,,,,,",4,171
Singapore Cricket Club,"chicken club,pandan,mulligatawny soup,padang restaurant,national art gallery,business lunch,curry,scc","chicken club,pandan,mulligatawny soup,padang restaurant,national art gallery,business lunch,curry,scc",4,171
Ngee Ann City (Singapore),"shopping mall,food court,branded goods","shopping mall,food court,branded goods",4,171
Clarke Quay Central (Singapore),"mrt station,retail outlets,food court is,orchard road,shopping","mrt station,retail outlets,food court is,orchard road,shopping",4,174
Bollywood Veggies (Singapore),"nasi lemak,sungei buloh,chicken curry,city life,farm tour,bistro serves,awesome place to spend,otah,wetland reserve,we enjoyed walking,concrete jungle,during weekends,warriors,plants,nature,moringa,,,,,,","nasi lemak,sungei buloh,chicken curry,city life,farm tour,bistro serves,awesome place to spend,otah,wetland reserve,we enjoyed walking,concrete jungle,during weekends,warriors,plants,nature,moringa,,,,,,",4,175
"Kuan Yin Thong Hood Cho Temple, Singapore","joss sticks,waterloo street,albert centre,hawkers selling,lotus flowers,chinese new year,worth a visit,mrt station,goddess,worshippers,bugis,prayer,donation,tourists","joss sticks,waterloo street,albert centre,hawkers selling,lotus flowers,chinese new year,worth a visit,mrt station,goddess,worshippers,bugis,prayer,donation,tourists",4,182
DFS Singapore Changi Airport,"louis vuitton,food outlets,indoor waterfall,shopping mall,chanel,immigration,stopover,lounge","louis vuitton,food outlets,indoor waterfall,shopping mall,chanel,immigration,stopover,lounge",4,183
Plaza Premium Lounge (Singapore),"long layover,hainan chicken rice,few hours,changi","long layover,hainan chicken rice,few hours,changi",4,185
So SPA (Sentosa Island),"spa botanica,mud bath,spa facilities,waterfall pool,relaxing massage,sofitel hotel,male therapist,excellent massage,hour massage,great spa experience,indulgence package,pampering session,facial,tension,,,,,,","spa botanica,mud bath,spa facilities,waterfall pool,relaxing massage,sofitel hotel,male therapist,excellent massage,hour massage,great spa experience,indulgence package,pampering session,facial,tension,,,,,,",4,186
Satay Street (Singapore),"satay,stall holders,chicken and beef,great street,brilliant experience,vendors,mrt","satay,stall holders,chicken and beef,great street,brilliant experience,vendors,mrt",4,194
Labrador Nature Reserve (Singapore),"keppel bay,machine gun,gun emplacements,world war ii,historical relics,japanese invasion,nice quiet park,mrt station,vivo city,british colonial,southern ridges,telok blangah hill park,public toilets,amazing park,,,,,,,,,,,,,,,,","keppel bay,machine gun,gun emplacements,world war ii,historical relics,japanese invasion,nice quiet park,mrt station,vivo city,british colonial,southern ridges,telok blangah hill park,public toilets,amazing park,,,,,,,,,,,,,,,,",4,205
Bintan Resort Ferries (Singapore),"emerald class,economy class,ferry trip,tanah merah,comfortable journey,immigration,crew,lounge,boat,ride,brf,indonesia,tickets,disembarked,safety","emerald class,economy class,ferry trip,tanah merah,comfortable journey,immigration,crew,lounge,boat,ride,brf,indonesia,tickets,disembarked,safety",4,225
Robertson Quay (Singapore),"boomerang bar,high end,upmarket,river,cuisine,chinatown","boomerang bar,high end,upmarket,river,cuisine,chinatown",4,233
Floating Bridge at Siloso Beach (Sentosa Island),"continental asia,southernmost point,siloso beach,beach station,sentosa,palawan,lookout,rocks","continental asia,southernmost point,siloso beach,beach station,sentosa,palawan,lookout,rocks",4,234
SilverKris Lounge (Singapore),"between flights,few hours,krisflyer","between flights,few hours,krisflyer",4,243
The Qantas Singapore Lounge,"qantas club,laksa,changi airport,few hours,qatar,qf","qantas club,laksa,changi airport,few hours,qatar,qf",4,250
Katong District (Singapore),"east coast road,peranakan style,land reclamation,food court,heritage,shophouse,koon,bebe,architecture,rumah,chinese,conservation,facade,rocks,stroll","east coast road,peranakan style,land reclamation,food court,heritage,shophouse,koon,bebe,architecture,rumah,chinese,conservation,facade,rocks,stroll",4,251
313@somerset (Singapore),"large food court,shopping centre,dining options,ngee ann city,orchard","large food court,shopping centre,dining options,ngee ann city,orchard",4,258
Paragon (Singapore),"high end,orchard road,crystal jade,jimmy choo,luxury mall,cold storage,international brands,food court,gucci,smrt","high end,orchard road,crystal jade,jimmy choo,luxury mall,cold storage,international brands,food court,gucci,smrt",4,267
Mint Museum of Toys (Singapore),toy museum,toy museum,4,268
Rainforest Lumina (Singapore),"singapore zoo,light show,projection","singapore zoo,light show,projection",4,270
Marina Square (Singapore),"suntec city,food court,large mall,high end shops,spoilt for choice,eating places,worth a visit,shopping,pororo,bay","suntec city,food court,large mall,high end shops,spoilt for choice,eating places,worth a visit,shopping,pororo,bay",4,271
Tekka Centre (Singapore),"wet market,indian food,biryani,little india,indian clothes,food centre,north indian,fish soup,food court,stalls,prata,sari,allauddin,sd,culture","wet market,indian food,biryani,little india,indian clothes,food centre,north indian,fish soup,food court,stalls,prata,sari,allauddin,sd,culture",4,277
Cavenagh Bridge (Singapore),"fullerton hotel,singapore river,boat quay,original form,asian civilisation museum,british east india company,merlion park,marina bay,governor,oldest,settlement,strait,structure,suspension,sculptures,heritage,dating,","fullerton hotel,singapore river,boat quay,original form,asian civilisation museum,british east india company,merlion park,marina bay,governor,oldest,settlement,strait,structure,suspension,sculptures,heritage,dating,",4,283
Tanjong Beach (Sentosa Island),"refreshing swim,plastic waste,minimum spend,couple of hours,sentosa,palawan,singapore,swimmers","refreshing swim,plastic waste,minimum spend,couple of hours,sentosa,palawan,singapore,swimmers",4,305
The Maritime Experiential Museum (Sentosa Island),"sea aquarium,special effects,ship,exhibits,trading,history,pottery,century,singapore,information,sentosa,simulation,audio,visitors","sea aquarium,special effects,ship,exhibits,trading,history,pottery,century,singapore,information,sentosa,simulation,audio,visitors",4,305
Ambassador Transit Lounge (Singapore),"changi airport,butterfly garden,shower facilities,between flights,nap room,long layover","changi airport,butterfly garden,shower facilities,between flights,nap room,long layover",4,306
Ambassador Transit Lounge (Singapore),"priority pass,long layover,clean shower,singapore airport,sunflower,changi,garden","priority pass,long layover,clean shower,singapore airport,sunflower,changi,garden",4,306
"Thian Hock Keng Temple, Singapore","telok ayer street,chinese immigrants,sea goddess,amoy street,worth a visit,the south china sea,chinatown area,southeast asia,take pictures,chinese new year,hokkien,worship,oldest,deities,gods,pray,,,,,,,,,,,,,,","telok ayer street,chinese immigrants,sea goddess,amoy street,worth a visit,the south china sea,chinatown area,southeast asia,take pictures,chinese new year,hokkien,worship,oldest,deities,gods,pray,,,,,,,,,,,,,,",4,308
Plaza Singapura (Singapore),"bakso,shopping mall,dhoby ghaut mrt,cold storage,food court,orchard road,interchange","bakso,shopping mall,dhoby ghaut mrt,cold storage,food court,orchard road,interchange",4,324
City Square Mall (Singapore),"farrer park mrt station,little india,food court,food republic,kitchener road,f b,lots of shops,air conditioning,local food,decathlon,shopping,movie,tuition,foodcourt,shoppers,varieties,chinese","farrer park mrt station,little india,food court,food republic,kitchener road,f b,lots of shops,air conditioning,local food,decathlon,shopping,movie,tuition,foodcourt,shoppers,varieties,chinese",4,326
SIA Hop-on (Singapore),"top deck,little india,botanical gardens,raffles hotel,explore singapore,route,chinatown,introduction","top deck,little india,botanical gardens,raffles hotel,explore singapore,route,chinatown,introduction",4,328
Holland Village (Singapore),shopping,shopping,4,339
ION Sky (Singapore),"jurassic world,shopping centre,coaster","jurassic world,shopping centre,coaster",4,340
Mount Faber (Singapore),"cable car,sentosa island,faber point,marang trail,henderson waves,jewel box,highest point,harbourfront mrt station,telok blangah,forest walk,nice park,lovely walk,merlion statue,singapore city,walk around,,,,,,,,,,,","cable car,sentosa island,faber point,marang trail,henderson waves,jewel box,highest point,harbourfront mrt station,telok blangah,forest walk,nice park,lovely walk,merlion statue,singapore city,walk around,,,,,,,,,,,",4,390
"St Andrew's Cathedral, Singapore","stained glass,nice church,quick look,worship,architecture,anglican,sanctuary,parishioners,gothic,skyline,chinese","stained glass,nice church,quick look,worship,architecture,anglican,sanctuary,parishioners,gothic,skyline,chinese",4,402
Wild Wild Wet (Singapore),"wave pool,pasir ris,water theme park,all ages,free fall,life jackets,water rides,year olds,super fun,food court,changi airport,torpedo,lockers,adventure,bikes,lah,kraken,sentosa,reenter,kidz,thrill,,,,,,,,,","wave pool,pasir ris,water theme park,all ages,free fall,life jackets,water rides,year olds,super fun,food court,changi airport,torpedo,lockers,adventure,bikes,lah,kraken,sentosa,reenter,kidz,thrill,,,,,,,,,",4,418
Bukit Timah Nature Reserve (Singapore),"dairy farm,main path,highest point,paved road,steep climb,south view,highest peak,tropical rainforest,bring plenty of water,urban singapore,above sea level,monitor lizards,tall trees,walk up,beautiful scenery,,,,,,,,,,,,,,,","dairy farm,main path,highest point,paved road,steep climb,south view,highest peak,tropical rainforest,bring plenty of water,urban singapore,above sea level,monitor lizards,tall trees,walk up,beautiful scenery,,,,,,,,,,,,,,,",4,420
Smoke & Mirrors,"national gallery,truffle fries,marina bay,rooftop bar,outdoor seats,city skyline,nice ambience,singapore sling,light show,mbs","national gallery,truffle fries,marina bay,rooftop bar,outdoor seats,city skyline,nice ambience,singapore sling,light show,mbs",4,469
Loof (Singapore),"rooftop bar,chilli crab,bubble tea,great ambience,raffles hotel,umami,chopper,8pm","rooftop bar,chilli crab,bubble tea,great ambience,raffles hotel,umami,chopper,8pm",4,469
Singapore Art Museum,"beautiful building,exhibits","beautiful building,exhibits",4,517
Raffles City (Singapore),"shopping centre,food court,carlton hotel,marks spencer,ps cafe,great mall,high end,mrt","shopping centre,food court,carlton hotel,marks spencer,ps cafe,great mall,high end,mrt",4,522
"Sri Veeramakaliamman Temple, Singapore","serangoon road,little india,walking tour,take pictures,shoes,statues,gods,worshippers,ornate,blessings,gopuram,hinduism,oldest,priest,pray,culture,visitors,tamil,holy,architecture,mrt,","serangoon road,little india,walking tour,take pictures,shoes,statues,gods,worshippers,ornate,blessings,gopuram,hinduism,oldest,priest,pray,culture,visitors,tamil,holy,architecture,mrt,",4,548
Chinatown Street Market (Singapore),"food street,buy cheap,local food,walk around,souvenirs,chinatown,stalls,shopping,clothing,shopkeepers,mrt,hawker,stroll,hundreds","food street,buy cheap,local food,walk around,souvenirs,chinatown,stalls,shopping,clothing,shopkeepers,mrt,hawker,stroll,hundreds",4,636
Suntec City (Singapore),"huge mall,pan pacific,food court,shopping mall,hop on hop,food outlets,wealth,fountain,adidas,cinema,esplanade,mrt,orchard","huge mall,pan pacific,food court,shopping mall,hop on hop,food outlets,wealth,fountain,adidas,cinema,esplanade,mrt,orchard",4,642
Marina Barrage (Singapore),"kite flying,water reservoir,singapore skyline,picnic spot,east coast park,ground level,public transport,flower dome,windy,bay,rooftop,gallery,bike,bridge,mbs,project,ships,model,technology,backdrop,,,","kite flying,water reservoir,singapore skyline,picnic spot,east coast park,ground level,public transport,flower dome,windy,bay,rooftop,gallery,bike,bridge,mbs,project,ships,model,technology,backdrop,,,",4,680
Fort Siloso (Sentosa Island),"sky walk,japanese invasion,world war,self guided tour,love history,history lesson,singapore history,interesting place,own pace,take your time,cable car,other attractions,universal studios,surrender,guns,skywalk,,,,,,,,,,,,,,","sky walk,japanese invasion,world war,self guided tour,love history,history lesson,singapore history,interesting place,own pace,take your time,cable car,other attractions,universal studios,surrender,guns,skywalk,,,,,,,,,,,,,,",4,697
Takashimaya Singapore,"department store,food court,orchard road,food hall,cold storage supermarket,luxury brands,basement level,louis vuitton,shopping centre,great shopping,chinese new year,bookstore,chanel,shoes,cuisine","department store,food court,orchard road,food hall,cold storage supermarket,luxury brands,basement level,louis vuitton,shopping centre,great shopping,chinese new year,bookstore,chanel,shoes,cuisine",4,711
Bugis Junction (Singapore),"great mall,shopping mall,department store,visiting singapore,shoes,souvenirs,giardino,clothing,cinema,foodcourt,gadgets,sg","great mall,shopping mall,department store,visiting singapore,shoes,souvenirs,giardino,clothing,cinema,foodcourt,gadgets,sg",4,732
Chinese and Japanese Gardens (Singapore),"bonsai garden,chinese zodiac,pagoda,jurong,statues,bridge,stroll,lakes,architecture,paths,trees","bonsai garden,chinese zodiac,pagoda,jurong,statues,bridge,stroll,lakes,architecture,paths,trees",4,745
Chijmes (Singapore),"holy infant,old church,carlton hotel,victoria street,beautiful architecture,chapel,school,orphanage,nuns,catholic,asians,cuisine,raffles,heritage,sg","holy infant,old church,carlton hotel,victoria street,beautiful architecture,chapel,school,orphanage,nuns,catholic,asians,cuisine,raffles,heritage,sg",4,756
Science Centre Singapore,"omni theatre,hands on activities,exhibits,butterfly,maze,butterflies,dna","omni theatre,hands on activities,exhibits,butterfly,maze,butterflies,dna",4,770
City Sightseeing Singapore,"day pass,yellow line,sentosa island,clarke quay","day pass,yellow line,sentosa island,clarke quay",4,823
Resorts World Sentosa Casino (Singapore),pontoon,pontoon,4,831
Resorts World Sentosa (Sentosa Island),"universal studios,toast box,cable car,hard rock cafe,wings,other attractions,rws,aquarium,singapore,monorail","universal studios,toast box,cable car,hard rock cafe,wings,other attractions,rws,aquarium,singapore,monorail",4,831
Haw Par Villa (Singapore),"tiger balm,chinese mythology,theme park,mrt station,statues depicting,worth a visit,free entry,interesting place,scenes,legend,court,myths,gruesome,depicted,culture,taoist,childhood,terrapins,admission,,,,,","tiger balm,chinese mythology,theme park,mrt station,statues depicting,worth a visit,free entry,interesting place,scenes,legend,court,myths,gruesome,depicted,culture,taoist,childhood,terrapins,admission,,,,,",4,870
ION Orchard (Singapore),"food court,food opera,luxury brands,shopping centre,high end brands,bakso,great shopping,louis vuitton,huge variety,singapore airlines,mrt,sephora,basements,chanel,sg","food court,food opera,luxury brands,shopping centre,high end brands,bakso,great shopping,louis vuitton,huge variety,singapore airlines,mrt,sephora,basements,chanel,sg",4,1019
"Sri Mariamman Temple, Singapore","take photos,south bridge road,remove shoes,national monument,chinatown mrt,worth a visit,little india,statues,goddess,worship,gopuram,devotees,tourists,donation,ornate,tower,admission","take photos,south bridge road,remove shoes,national monument,chinatown mrt,worth a visit,little india,statues,goddess,worship,gopuram,devotees,tourists,donation,ornate,tower,admission",4,1031
Haji Lane (Singapore),"street art,boutique shops,muslim quarter,kampong glam,bugis station,interesting shops,arab st,sultan mosque,shop houses,take photos,little india,graffiti,shopping,selfie,indie,paintings,culture,arts,,,,,,","street art,boutique shops,muslim quarter,kampong glam,bugis station,interesting shops,arab st,sultan mosque,shop houses,take photos,little india,graffiti,shopping,selfie,indie,paintings,culture,arts,,,,,,",4,1041
"Sultan Mosque, Singapore","arab street,kampong glam,golden dome,muslim community,murtabak,zam zam,wearing shorts,national monument,beautiful building,bugis mrt,prayer,islam,architecture,worship,visitors,praying,moslem,skirt,,,,,,,,","arab street,kampong glam,golden dome,muslim community,murtabak,zam zam,wearing shorts,national monument,beautiful building,bugis mrt,prayer,islam,architecture,worship,visitors,praying,moslem,skirt,,,,,,,,",4,1065
Fort Canning Park (Singapore),"battle box,spice garden,british army,clarke quay,national museum,beautiful trees,world war,guided tour,singapore history,nice walk,singapore river,bunker,cannon,surrender,paths,raffles,centennial,,,,,,,,,,,,","battle box,spice garden,british army,clarke quay,national museum,beautiful trees,world war,guided tour,singapore history,nice walk,singapore river,bunker,cannon,surrender,paths,raffles,centennial,,,,,,,,,,,,",4,1078
Trick Eye Museum Singapore (Sentosa Island),"taking photos,photo point,fun pictures,click pictures,great fun,fun pass,photo opportunities,app,download,paintings,exhibits,camera,ar,backgrounds,sentosa,singapore","taking photos,photo point,fun pictures,click pictures,great fun,fun pass,photo opportunities,app,download,paintings,exhibits,camera,ar,backgrounds,sentosa,singapore",4,1099
Boat Quay (Singapore),"singapore river,fullerton hotel,shop houses,tourists,boats,stroll,bridge,skyscrapers,chinese","singapore river,fullerton hotel,shop houses,tourists,boats,stroll,bridge,skyscrapers,chinese",4,1249
Siloso Beach (Sentosa Island),"nice beach,beach station,wings,sentosa express,singapore,shore,picnic,luge","nice beach,beach station,wings,sentosa express,singapore,shore,picnic,luge",4,1302
VivoCity (Singapore),"vivo city,sentosa island,shopping mall,sentosa express,food republic,food court,huge mall,harbour front,golden village,international brands,taxi stand,dining options,department store,mrt station,cable car,cinema,,,,","vivo city,sentosa island,shopping mall,sentosa express,food republic,food court,huge mall,harbour front,golden village,international brands,taxi stand,dining options,department store,mrt station,cable car,cinema,,,,",4,1444
Lau Pa Sat Festival Pavilion (Singapore),"satay,hawker centre,tiger beer,indian food,stalls,hawkers,tourists,sgd","satay,hawker centre,tiger beer,indian food,stalls,hawkers,tourists,sgd",4,1565
ArtScience Museum at Marina Bay Sands (Singapore),"future world,art science,marina bay sands,alice in wonderland,interactive displays,great for kids,high tech,kids and adults,helix bridge,light show,tickets,drawing,sketch,technology,projection,marvel,,,,,,,","future world,art science,marina bay sands,alice in wonderland,interactive displays,great for kids,high tech,kids and adults,helix bridge,light show,tickets,drawing,sketch,technology,projection,marvel,,,,,,,",4,1656
Raffles Hotel Arcade (Singapore),"singapore sling,tiffin room,worth a visit,shopping,stroll,souvenir","singapore sling,tiffin room,worth a visit,shopping,stroll,souvenir",4,1714
Bugis Street (Singapore),"budget shopping,buy souvenirs,souvenir shopping,fruit juice,clothing,shoes,stalls,watches,bargains,keychain,shoppers,gifts,mrt,tourists,mall,sg,hawker","budget shopping,buy souvenirs,souvenir shopping,fruit juice,clothing,shoes,stalls,watches,bargains,keychain,shoppers,gifts,mrt,tourists,mall,sg,hawker",4,1929
Madame Tussauds Singapore (Sentosa Island),"boat ride,wax museum,world leaders,take photos,celebrities,actors,statues,image,history,marvel,singapore,president,waxworks,props,celebrity,actress,sentosa,lifelike,selfie,tickets,hollywood","boat ride,wax museum,world leaders,take photos,celebrities,actors,statues,image,history,marvel,singapore,president,waxworks,props,celebrity,actress,sentosa,lifelike,selfie,tickets,hollywood",4,2019
Arab Street (Singapore),"haji lane,sultan mosque,turkish food,shops selling,kampong glam,shop houses,little india,walk around,fabric,textiles,shopping,culture,silk,perfume,clothing,bugis,graffiti,chinatown,bargains","haji lane,sultan mosque,turkish food,shops selling,kampong glam,shop houses,little india,walk around,fabric,textiles,shopping,culture,silk,perfume,clothing,bugis,graffiti,chinatown,bargains",4,2300
Sentosa Merlion (Sentosa Island),"marina bay,half lion,gold coin,light show,cable car,take pictures,universal studios,mouth,statue,symbol,icon,sentosa,singapore,mystical,structure,pics","marina bay,half lion,gold coin,light show,cable car,take pictures,universal studios,mouth,statue,symbol,icon,sentosa,singapore,mystical,structure,pics",4,2408
Adventure Cove Waterpark (Sentosa Island),"lazy river,wave pool,rainbow reef,water park,riptide rocket,tropical fish,dolphin experience,lots of fun,young kids,school holidays,closing time,long queue,popular rides,express pass,theme park,slides,snorkeling,,,,,,,,,,,,,","lazy river,wave pool,rainbow reef,water park,riptide rocket,tropical fish,dolphin experience,lots of fun,young kids,school holidays,closing time,long queue,popular rides,express pass,theme park,slides,snorkeling,,,,,,,,,,,,,",4,2467
River Safari (Singapore),"boat ride,giant pandas,red panda,singapore zoo,jia jia,amazon flooded forest,quest ride,main zoo,theme park,polar bear,air conditioned,manatees,aquarium,fishes,cruise,jaguar,exhibits,,,,,,,,,,,","boat ride,giant pandas,red panda,singapore zoo,jia jia,amazon flooded forest,quest ride,main zoo,theme park,polar bear,air conditioned,manatees,aquarium,fishes,cruise,jaguar,exhibits,,,,,,,,,,,",4,3021
Mustafa Centre (Singapore),"open hours,under one roof,little india,one stop shop,money exchange,electronic goods,shopping centre,shopping experience,departmental store,serangoon road,perfume,watches,cosmetics,gst,shoes,souvenirs,,,,","open hours,under one roof,little india,one stop shop,money exchange,electronic goods,shopping centre,shopping experience,departmental store,serangoon road,perfume,watches,cosmetics,gst,shoes,souvenirs,,,,",4,3052
Maxwell Food Centre (Singapore),"hawker centre,hainanese chicken rice,tian tian,local food,carrot cake,rojak,tapioca,bee hoon,longest queue,sugar cane juice,cheap food,cheap eats,char kway teow,office workers,stalls selling,chinatown area,food court,,,,","hawker centre,hainanese chicken rice,tian tian,local food,carrot cake,rojak,tapioca,bee hoon,longest queue,sugar cane juice,cheap food,cheap eats,char kway teow,office workers,stalls selling,chinatown area,food court,,,,",4,3266
Little India (Singapore),"indian food,serangoon road,indian culture,mustafa centre,sri veeramakaliamman temple,gold shops,curry,shops selling,wet market,walk around,shopping mall,mrt station,tekka,deepavali,sarees,clothing,,,,","indian food,serangoon road,indian culture,mustafa centre,sri veeramakaliamman temple,gold shops,curry,shops selling,wet market,walk around,shopping mall,mrt station,tekka,deepavali,sarees,clothing,,,,",4,4053
Merlion Park (Singapore),"marina bay sands,half lion,singapore icon,fullerton hotel,iconic statue,photo opportunity,take pictures,singapore river,must visit place,laser show,visit singapore,river cruise,helix bridge,nice walk,clarke quay,light show,,,,,,,,,,,,,,","marina bay sands,half lion,singapore icon,fullerton hotel,iconic statue,photo opportunity,take pictures,singapore river,must visit place,laser show,visit singapore,river cruise,helix bridge,nice walk,clarke quay,light show,,,,,,,,,,,,,,",4,9549
Night Safari (Singapore),"tram ride,walking trails,fire show,nocturnal animals,unique experience,singapore zoo,zoo experience,their natural habitat,tiger,tapir,enclosures,zoos,commentary,9pm,concept,taxis,rainforest,mrt","tram ride,walking trails,fire show,nocturnal animals,unique experience,singapore zoo,zoo experience,their natural habitat,tiger,tapir,enclosures,zoos,commentary,9pm,concept,taxis,rainforest,mrt",4,12148
Orchard Road (Singapore),"shoppers paradise,shop till you drop,high end,shopping street,shopping heaven,lucky plaza,christmas lights,great shopping,designer shops,international brands,shopping experience,lots of shops,food court,takashimaya,,,,,,,,,,,","shoppers paradise,shop till you drop,high end,shopping street,shopping heaven,lucky plaza,christmas lights,great shopping,designer shops,international brands,shopping experience,lots of shops,food court,takashimaya,,,,,,,,,,,",4,13500
Chinatown (Singapore),"chinese new year,food street,smith street,chinese food,china towns,cheap souvenirs,people's park,market stalls,souvenir shopping,pagoda street,buddha tooth relic temple,for sale,lots of shops,worth a visit,great place to visit,,,,,,,,,,,,,","chinese new year,food street,smith street,chinese food,china towns,cheap souvenirs,people's park,market stalls,souvenir shopping,pagoda street,buddha tooth relic temple,for sale,lots of shops,worth a visit,great place to visit,,,,,,,,,,,,,",4,14396
Singapore Repertory Theatre,"play,production,overseas","play,production,overseas",4.5,7
Windsor Nature Park (Singapore),"loop,forest","loop,forest",4.5,8
Toko Aljunied (Singapore),"gifts,shop","gifts,shop",4.5,10
Marina Bay Waterfront Promenade (Singapore),marina bay,marina bay,4.5,10
South Bridge Road (Singapore),"sri mariamman temple,historic,chinatown","sri mariamman temple,historic,chinatown",4.5,12
Marlin Divers (Singapore),"instructor,dives","instructor,dives",4.5,12
Everton Road Street Art (Singapore),"provision shop,park road,scenes,paintings","provision shop,park road,scenes,paintings",4.5,12
Christian Armani Ladies &amp; Gents Tailors (Singapore),tailoring,tailoring,4.5,13
Dairy Farm Nature Park (Singapore),"bukit timah hill,mrt station,quarry,hillview,summit,hikers,loop,alight,trek,uphill,hiking,path,route","bukit timah hill,mrt station,quarry,hillview,summit,hikers,loop,alight,trek,uphill,hiking,path,route",4.5,14
Silat Road Sikh Temple (Singapore),"holy place,gurudwara,prayer","holy place,gurudwara,prayer",4.5,18
Upper Seletar Reservoir (Singapore),"rocket tower,climb,park","rocket tower,climb,park",4.5,18
Chinese Heritage Centre (Singapore),chinatown,chinatown,4.5,19
OCBC Aquatic Centre (Singapore),swimmers,swimmers,4.5,22
La Source Spa (Singapore),"purifier,facial,ritual,masseuse,session","purifier,facial,ritual,masseuse,session",4.5,23
Church of St. Alphonsus (Singapore),prayer,prayer,4.5,24
Chestnut Nature Park (Singapore),"hiking trails,observation tower,northern trail,dairy farm,toilet facilities,bukit timah,hikers,drongo,blk,undulating,squirrels,tanjung,shelter,bike,deeper,track,vegetation,reservoir,route","hiking trails,observation tower,northern trail,dairy farm,toilet facilities,bukit timah,hikers,drongo,blk,undulating,squirrels,tanjung,shelter,bike,deeper,track,vegetation,reservoir,route",4.5,24
The Single Cask (Singapore),gyu,gyu,4.5,24
Poppy Fabric (Singapore),ikat,ikat,4.5,24
Chingay Parade (Singapore),"marina bay,performers,costumes,dragon,float,culture","marina bay,performers,costumes,dragon,float,culture",4.5,25
Singapore Quarry,"nature park,dairy farm,nature reserve,bukit timah,monitor lizards,mrt station,hillview,turtles,platform,fuyong,shorter,scenery,mall,trail,route,trees","nature park,dairy farm,nature reserve,bukit timah,monitor lizards,mrt station,hillview,turtles,platform,fuyong,shorter,scenery,mall,trail,route,trees",4.5,27
Quayside Isle (Singapore),w hotel,w hotel,4.5,29
Marquee Singapore,"ferris wheel,marquee nightclub","ferris wheel,marquee nightclub",4.5,30
MyTrip Transport Services (Singapore),"day trip,driver,vehicle,company","day trip,driver,vehicle,company",4.5,32
Good Luck Beer House (Singapore),"dim sum,haji lane,tiger,sg","dim sum,haji lane,tiger,sg",4.5,33
Hatyai Thai Massage (Singapore),"therapist,session,malaysia,chinatown","therapist,session,malaysia,chinatown",4.5,34
